pitch_name,release_extension,release_pos_x,release_pos_y,release_pos_z,release_speed,release_spin_rate,spin_axis,plate_x,plate_z,pfx_x,pfx_z,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,stand,sz_top,sz_bot,swing
Cutter,6.6,-2.76,53.86,5.81,92.6,2376.0,195.0,-0.09,2.79,0.11,0.97,3,1,0,0,0,1,L,3.15,1.52,1
Changeup,6.8,-2.87,53.74,5.66,86.3,1511.0,226.0,-1.47,1.84,-1.16,0.4,2,1,0,0,0,1,L,3.13,1.56,0
Changeup,6.7,-2.83,53.82,5.68,87.9,1570.0,224.0,-1.52,2.38,-0.74,0.84,1,1,0,0,0,1,L,3.12,1.51,0
Knuckle Curve,6.7,-2.7,53.78,5.78,82.4,2398.0,32.0,0.2,1.04,0.16,-0.91,1,0,0,0,0,1,L,3.15,1.52,1
Cutter,6.7,-2.64,53.83,5.81,91.0,2427.0,189.0,0.89,1.65,0.22,1.0,0,0,0,0,0,1,L,3.12,1.51,0
Cutter,6.8,-2.73,53.75,5.71,89.3,2309.0,177.0,0.74,1.65,0.23,0.69,1,2,0,0,0,0,R,3.25,1.72,0
Slider,6.8,-2.73,53.74,5.81,88.9,2273.0,166.0,-0.09,1.96,0.48,0.18,1,1,0,0,0,0,R,3.32,1.64,1
Knuckle Curve,6.6,-2.58,53.91,5.87,82.1,2411.0,32.0,0.24,2.07,0.29,-1.01,1,0,0,0,0,0,R,3.32,1.64,1
4-Seam Fastball,6.8,-2.54,53.74,5.96,94.3,2267.0,199.0,1.48,2.89,-0.01,1.36,0,0,0,0,0,0,R,3.42,1.67,0
4-Seam Fastball,6.9,-2.56,53.65,5.91,93.4,2341.0,207.0,0.48,2.29,-0.27,1.43,2,0,0,0,0,0,L,3.46,1.61,1
4-Seam Fastball,6.8,-2.58,53.68,5.91,93.7,2333.0,204.0,1.44,1.39,-0.44,1.51,1,0,0,0,0,0,L,3.5,1.74,0
4-Seam Fastball,6.7,-2.55,53.83,5.94,93.7,2290.0,207.0,1.4,2.42,-0.35,1.44,0,0,0,0,0,0,L,3.5,1.76,0
Changeup,6.5,-2.81,54.0,5.75,86.5,1629.0,232.0,0.14,2.0,-1.11,0.82,1,0,0,0,1,0,L,3.58,1.71,1
Changeup,6.2,-3.12,54.26,5.81,82.8,1537.0,240.0,-0.9,0.84,-1.25,0.12,0,0,0,0,1,0,L,4.2,1.89,0
4-Seam Fastball,6.7,-2.61,53.75,5.87,92.9,2201.0,204.0,0.32,2.32,-0.29,1.22,1,0,0,0,0,0,L,3.57,1.73,1
4-Seam Fastball,6.6,-2.83,53.92,5.87,93.2,2171.0,206.0,-1.5,1.95,-0.35,1.15,0,0,0,0,0,0,L,3.67,1.69,0
4-Seam Fastball,6.8,-2.67,53.73,5.84,94.3,2271.0,203.0,-0.52,1.65,-0.27,1.4,1,2,1,0,1,2,L,3.22,1.56,0
4-Seam Fastball,6.9,-2.72,53.65,5.87,94.1,2300.0,201.0,-0.14,1.96,-0.19,1.33,1,1,1,0,1,2,L,3.17,1.56,0
4-Seam Fastball,6.8,-2.73,53.69,5.82,93.9,2255.0,204.0,-0.17,1.26,-0.19,1.32,0,1,1,0,1,2,L,3.17,1.54,0
Knuckle Curve,6.6,-2.74,53.9,5.84,84.0,2371.0,28.0,0.48,1.57,0.18,-0.84,0,0,1,0,1,2,L,3.22,1.59,0
4-Seam Fastball,6.7,-2.43,53.8,6.0,93.7,2151.0,203.0,1.22,2.27,-0.02,1.29,3,2,0,0,1,2,R,3.38,1.57,1
Knuckle Curve,6.7,-2.66,53.75,5.86,81.0,2304.0,34.0,1.22,0.71,0.5,-0.98,2,2,0,0,1,2,R,3.4,1.56,0
4-Seam Fastball,6.7,-2.56,53.76,5.93,94.3,2190.0,199.0,-0.15,1.55,-0.2,1.19,2,1,0,0,1,2,R,3.42,1.57,0
4-Seam Fastball,6.7,-2.61,53.79,5.96,93.3,2197.0,202.0,-0.7,1.95,-0.27,1.29,1,1,0,0,1,2,R,3.37,1.54,0
Knuckle Curve,6.5,-2.74,54.02,5.9,82.0,2342.0,34.0,0.47,2.39,0.64,-0.88,1,0,0,0,1,2,R,3.3,1.51,0
Knuckle Curve,6.8,-2.65,53.75,5.88,84.1,2396.0,31.0,1.11,1.77,0.31,-0.84,0,0,0,0,1,2,R,3.42,1.56,0
4-Seam Fastball,6.6,-2.71,53.86,5.93,93.7,2229.0,204.0,-0.48,2.24,-0.26,1.27,1,0,0,0,1,1,L,3.68,1.82,1
Knuckle Curve,6.6,-2.73,53.92,5.86,83.7,2337.0,35.0,0.81,1.86,0.18,-0.79,0,0,0,0,1,1,L,3.6,1.81,0
4-Seam Fastball,6.6,-2.54,53.92,5.96,94.2,2269.0,198.0,0.71,2.49,-0.19,1.3,2,0,0,0,1,0,R,3.14,1.49,1
4-Seam Fastball,6.7,-2.66,53.76,5.93,94.8,2349.0,208.0,-0.22,0.47,-0.49,1.36,1,0,0,0,1,0,R,3.18,1.48,0
4-Seam Fastball,6.8,-2.52,53.71,5.93,94.7,2254.0,190.0,1.04,1.37,-0.19,1.22,0,0,0,0,1,0,R,3.13,1.44,0
Changeup,6.7,-2.96,53.8,5.64,86.4,1519.0,229.0,-1.44,1.17,-1.21,0.52,3,2,0,0,0,0,L,3.02,1.53,0
Changeup,6.8,-2.81,53.73,5.73,86.3,1414.0,229.0,-0.7,1.72,-0.88,0.07,3,2,0,0,0,0,L,3.15,1.52,1
4-Seam Fastball,6.6,-2.49,53.9,5.97,93.5,2166.0,194.0,1.11,2.94,-0.17,1.19,2,2,0,0,0,0,L,3.03,1.51,0
Knuckle Curve,6.7,-2.59,53.85,5.8,82.7,2395.0,36.0,0.96,0.01,0.29,-0.84,1,2,0,0,0,0,L,3.0,1.46,0
Changeup,6.7,-2.95,53.83,5.71,86.7,1506.0,223.0,0.09,1.31,-0.54,0.82,1,1,0,0,0,0,L,3.15,1.52,1
4-Seam Fastball,6.5,-2.67,54.03,5.99,92.4,2084.0,205.0,-0.26,4.51,-0.08,1.26,0,1,0,0,0,0,L,3.08,1.48,0
Cutter,6.6,-2.61,53.91,5.88,91.6,2214.0,199.0,0.29,2.19,0.11,0.9,0,0,0,0,0,0,L,3.15,1.52,1
